"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"https://www.google.com/maps/place/Rooftop+Restaurant/data=!4m7!3m6!1s0x3755c737c78b57e5:0xfe3c53d305939438!8m2!3d23.8379967!4d90.3753255!16s%2Fg%2F11tjc0j2k5!19sChIJ5VeLxzfHVTcROJSTBdNTPP4?authuser=0&hl=en&rclk=1","Rooftop Restaurant","3.5","(12)","·","৳200–400","Restaurant","·","","R9QG+648","","","","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqoy0PtJ9OHnjCiP281g5HVtUOKDCxxe7GvFIJ8GNJlMjyB6D7QAeSTwJZNOW1ZXYml6Edf4D-3Cwn-sOJfi4KZz6eRTyeaI6Aj-1CZXWP9zBrFALbDtfN6iKDcQlDV_WFV10y2L05RE3eX=w80-h106-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Sunset+Beans+-+Mirpur+12/data=!4m7!3m6!1s0x3755c7007be635fb:0x289b2c8b6dd87218!8m2!3d23.8290688!4d90.3636274!16s%2Fg%2F11x394wzww!19sChIJ-zXmewDHVTcRGHLYbYssmyg?authuser=0&hl=en&rclk=1","Sunset Beans - Mirpur 12","2.8","(68)","","","Restaurant","·","","Sujat Nagar, Safura Trade City, 1, 142 Sena Nibas Road","","","","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0W1J6BjlKWLgo7ORoqognriQhEyj04KzT3VCOVA2k1JUH4xcBiiEXV3Te6Y_eDGgq-Xm97dqov39UMPaIXzD7BaGBuT2ezcJnsN2VjBjW35WC_fvSGfFyfhnRAduM20PlE930iF-Wdvhx=w80-h106-k-no","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/Fatema+Mistanno+and+Restaurant/data=!4m7!3m6!1s0x3755c136d69bb1ed:0xb0b57c5255c379c0!8m2!3d23.8286793!4d90.3679736!16s%2Fg%2F11clsygn92!19sChIJ7bGb1jbBVTcRwHnDVVJ8tbA?authuser=0&hl=en&rclk=1","Fatema Mistanno and Restaurant","3.8","(25)","","","Restaurant","·","","·","R9H9+F5H, Rd No 1","Open","⋅ Closes 11 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozk8UE8kgGpicOJpVkj40Oma4DA-oMiRw95uEpaPWlvQLcbap_4SidOxeR__DN43uUN2eAlH3yj08DkXMiiK1yo_whBPrslnamaozdL_A6oUlDYbVDVn27hmjCRRBHkJf27r4h=w80-h142-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Meraz+Convention+Hall/data=!4m7!3m6!1s0x3755c10053d73033:0x52958696f8c58dd8!8m2!3d23.8289391!4d90.3637039!16s%2Fg%2F11ybg48587!19sChIJMzDXUwDBVTcR2I3F-JaGlVI?authuser=0&hl=en&rclk=1","Meraz Convention Hall","3.8","(15)","·","৳2,000+","Family-friendly","·","","Sujat Nagar, Safura Trade City, 1, 142 Sena Nibas Road","","Open","⋅ Closes 11:59 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCfqPlzZUWleys0nWtCVE5dMqpEbcmDCjTDSDqIxWG3Ml0tLhf31fiWEKNhZIZrQngIG86IEKRcA5_bfr3dsZ4eyOWIygOI8y8KkEeLTd7hd_nkW12makCgKrp_ooelszCmjKhQw=w122-h92-k-no","Dine-in","","","",""
"https://www.google.com/maps/place/TEA+N%27+TREAT/data=!4m7!3m6!1s0x3755c1003bf119d3:0xa3fb2d19cf8c9cf2!8m2!3d23.8236522!4d90.3617033!16s%2Fg%2F11md14992y!19sChIJ0xnxOwDBVTcR8pyMzxkt-6M?authuser=0&hl=en&rclk=1","TEA N' TREAT","4.0","(1)","","","Fast Food","·","","19 Pallabi Rd","","Open","⋅ Closes 11 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5zPr_z4Ko7kMVSw8Uk9SgHEKjPdZYfqu_bhNdJMq4ywKQY29yxRqsJDrJze7OQ2G4CYV48kbP_RpwYGBkfdMeo8qPq9NguJ739l2pEIbpEMMN-NSn-cvrVZSPVuHaDmUwF6uAr7qnw7ht=w122-h92-k-no","""Background music is also attractive.""","","","",""
"https://www.google.com/maps/place/Cheesy+Slice/data=!4m7!3m6!1s0x3755c1231d455f5d:0x5af332d38fa0cf3e!8m2!3d23.8287416!4d90.3637582!16s%2Fg%2F11qgb2ck6m!19sChIJXV9FHSPBVTcRPs-gj9My81o?authuser=0&hl=en&rclk=1","Cheesy Slice","4.5","(16)","","","Fast Food","·","","1216, Shop No-08, Signature Food Court, Sultan Mansion, Roof Top (9th Floor), Holding No. GET DIRECTIONS, 3 Begum Rokeya Ave","","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no4nurLMkbYAUfauPswh_WkK8lzIbvUAlprH47tWrQUpRGjkyTM2updKibPC_KkxxVAKa2S8YPPHL8nmq_uD2RtBoJPJwv6HW-B0kUtlwH7uxgBNcpy0MoT5Ov0Kn73sGRztwWv=w163-h92-k-no","Dine-in","·","Drive-through","",""
"https://www.google.com/maps/place/Kabab+Chini+Restaurant/data=!4m7!3m6!1s0x3755c100303e52cf:0xa366d448e0a05493!8m2!3d23.8277816!4d90.3637424!16s%2Fg%2F11vzcr90q6!19sChIJz1I-MADBVTcRk1Sg4EjUZqM?authuser=0&hl=en&rclk=1","Kabab Chini Restaurant","4.7","(3)","","","Restaurant","·","","R9H7+4F9","","","","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nota5kz5MEUbF8gAURr4aEVQyjZGYuHtUSEWo6HWwl6xB6_Gx8yWTDlHnGcBaLuwP4E7rwmPq16iipXQk8Rk9UXNMsp5Qiy8UGhLYg9XijTj3-Lqp09__vHjEBTsohl2x-z6C6H=w80-h142-k-no","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/Cup+N+Coffee/data=!4m7!3m6!1s0x3755c148e4cc33cd:0x7587fb93946e55dc!8m2!3d23.8284735!4d90.3637256!16s%2Fg%2F11kd7kmn25!19sChIJzTPM5EjBVTcR3FVulJP7h3U?authuser=0&hl=en&rclk=1","Cup N Coffee","","","","","Restaurant","·","","Sujat Mansion, 3 Begum Rokeya Ave","","Open","⋅ Closes 10:30 PM","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NDiolaLOLE06NnteGKQBtA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=265.94635&pitch=0&thumbfov=100","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Kacchi+Vabi+-+%E0%A6%95%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF+%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%80+%28Mirpur+12%29/data=!4m7!3m6!1s0x3755c10029d4c753:0x4ef15fec1d5200d5!8m2!3d23.8284537!4d90.3638518!16s%2Fg%2F11y7kdwjft!19sChIJU8fUKQDBVTcR1QBSHexf8U4?authuser=0&hl=en&rclk=1","Kacchi Vabi - কাচ্চি ভাবী (Mirpur 12)","2.7","(30)","·","৳400–600","Restaurant","·","","Sujat Mansion, 4 No Sujat Nagar, Mirpur 12 Bus Dtand, Pallabi, (Beside 171 no Metro Pillar)","","Open","⋅ Closes 11 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrZP3q-rxu57OSE_Y_6JnJ-tl_xuAEOhZ1a0vvAugKATWpkyL_ux0n7fN6icCBlFojU48FfKKJ4O7vTfX4UIxdo3p5PxjJqG66nCNFASM6or5QoerAJBV_54lD_shOTnbHPeIyEyA=w122-h92-k-no","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/Snigdha+tower,+Daktar+bari,West+Manikdi,+Dhaka+Cantonment/data=!4m7!3m6!1s0x3755c1005e645713:0xafa5ec21a4c126f6!8m2!3d23.827278!4d90.364408!16s%2Fg%2F11xfrd490t!19sChIJE1dkXgDBVTcR9ibBpCHspa8?authuser=0&hl=en&rclk=1","Snigdha tower, Daktar bari,West Manikdi, Dhaka Cantonment","","","","","Chicken","·","","45 Rd No. 7","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KRzjux0Y9N_DRwv0NJobcA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=138.04767&pitch=0&thumbfov=100","","","","",""
